Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
N ;AM;Manaus;M;entre 41 a 50 anos;2014;12;24/12/2014;31/12/2014;19/01/2015;7;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Loja física;S;S;Finalizada avaliada;Resolvida;2
NE;PB;João Pessoa;F;entre 41 a 50 anos;2014;12;05/12/2014;15/12/2014;05/01/2015;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Paranavaí;F;entre 21 a 30 anos;2014;12;22/12/2014;31/12/2014;21/01/2015;9;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Guamiranga;M;até 20 anos;2014;12;22/12/2014;31/12/2014;02/01/2015;9;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Negativação indevida;Telefone;S;S;Finalizada avaliada;Resolvida;4
SE;SP;Sorocaba;M;entre 31 a 40 anos;2014;12;16/12/2014;23/12/2014;11/01/2015;7;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Loja física;S;S;Finalizada avaliada;Não Resolvida;2
SE;SP;Vinhedo;M;entre 41 a 50 anos;2014;12;18/12/2014;22/12/2014;12/01/2015;4;Tam;Transporte Aéreo;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Juiz de Fora;F;mais de 70 anos;2014;12;24/12/2014;29/12/2014;19/01/2015;5;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;M;entre 31 a 40 anos;2014;12;27/12/2014;30/12/2014;20/01/2015;3;Submarino;Comércio Eletrônico;Produtos de Telefonia e Informática;Microcomputador e laptops;Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Ubatuba;M;entre 61 a 70 anos;2014;12;27/12/2014;06/01/2015;06/01/2015;10;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Atendimento / SAC;SAC - Descortesia / despreparo / demora;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;F;entre 51 a 60 anos;2014;12;15/12/2014;19/12/2014;07/01/2015;4;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Portabilidade não efetivada;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;F;entre 21 a 30 anos;2014;12;15/12/2014;23/12/2014;10/01/2015;8;Lojas Colombo.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;1
CO;DF;Brasília;F;entre 31 a 40 anos;2014;12;15/12/2014;17/12/2014;07/01/2015;2;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 21 a 30 anos;2014;12;26/12/2014;02/01/2015;23/01/2015;7;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;F;entre 31 a 40 anos;2014;12;19/12/2014;26/12/2014;16/01/2015;7;Decolar.com;Agências de Viagens;Transportes;Aéreo;Contrato / Oferta;Dificuldade para alterar o contrato de serviço (alteração de vôo, alteração de nome, cobrança etc);Internet;S;S;Finalizada não avaliada;Não Avaliada;
N ;AM;Manaus;M;até 20 anos;2014;12;24/12/2014;30/12/2014;05/01/2015;6;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada avaliada;Resolvida;4
NE;MA;Caxias;F;até 20 anos;2014;12;24/12/2014;30/12/2014;20/01/2015;6;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;N;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Inhambupe;F;mais de 70 anos;2014;12;24/12/2014;29/12/2014;19/01/2015;5;Americanas.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Microcomputador e laptops;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Vitória;M;entre 31 a 40 anos;2014;12;09/12/2014;18/12/2014;08/01/2015;9;Extra.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;F;entre 31 a 40 anos;2014;12;23/12/2014;02/01/2015;04/01/2015;10;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada avaliada;Resolvida;3
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;05/12/2014;12/12/2014;02/01/2015;7;Extra.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Microcomputador e laptops;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;
